"V1","V2"
"Cox4i1","Slc25a5"
"Atp1b3","Mgst1"
"Cpeb4","Irgm1"
"Cmpk2","AK087295"
"Ifih1","Gm4902"
"Nfs1","Rabif"
"Ifi205","Serpinb2"
"Ngp","Ctsb"
"Gusb","Osbpl11"
"Acsl1","Gbp2"
"Sbds","Nfkb2"
"Pyhin1","Ifit2"
"Parp14","Oasl1"
"Rbpms","Zc3hav1"
"Ywhaq","Tax1bp3"
"Oasl1","Cmpk2"
"Lsm5","Iars"
"Ifit2","Flnb"
"Slfn2","Clec4d"
"Fam49b","Map4k2"
"Ccdc88b","Gas7"
"Slfn5","Rnf213"
"C3","Lcn2"
"Ifi205","Rsad2"
"Ifi205","Oasl1"
"Gatad2a","Igsf6"
"Gbp5","Ifih1"
"Aldh1l1","Ppih"
"Ifi47","Parp14"
"Rock2","Mrpl43"
"Cd38","B630005N14Rik"
"Pdxk","Glg1"
"Htra2","Cnot3"
"Oasl1","Rsad2"
"Clec4d","Zfand5"
"Ifi205","Ifit2"
"Ppp6c","Mkl2"
"Poldip3","Sbds"
"C3","Stat3"
"Ifi205","Tlr2"
"Cstf1","Fam160b1"
"Ifi47","Ifit1"
"Tapbp","Src"
"Dnajc1","2010305A19Rik"
"Ifi47","Rnf213"
"Irgm1","Cd40"
"Trappc9","Anxa3"
"Rpl8","Prkar2a"
"Rassf4","Ddx5"
"Slfn2","Irg1"
"Snapin","Hrsp12"
"Cd14","Parp14"
"2410001C21Rik","C5ar1"
"Acsl1","Xaf1"
"Gbp5","Cpeb4"
"Irg1","Cmpk2"
"Irg1","Dhx58"
"Tnfaip2","Zfand5"
"Mobkl1a","Zbtb7a"
"Ptgs2","Cd14"
"Irg1","Ifih1"
"A230051G13Rik","Cstf2t"
"Cfb","AK087295"
"Pnp","Dnaja1"
"Cmpk2","Gm4902"
"Xaf1","Fpr2"
"Ifi205","Bst2"
"mACS4","pub"
"Tor1aip1","Psmb10"
"Il1a","Irg1"
"Ptgs2","Slfn5"
"Clic1","Ubl7"
"Maea","9030625A04Rik"
"Il1b","Slc7a2"
"Ifi205","Znfx1"
"Rnf114","Sbds"
"Tor1aip1","Psmb10"
"BC002288","AK087295"
"Bag3","Pdcl"
"Ifitm3","Fpr2"
"Irg1","Parp14"
"Cand1","Gsr"
"Ifitm3","Malt1"
"Rab11fip5","Atp1a1"
"Saa3","Ifit2"
"Gbp5","Rsad2"
"Bst2","Trex1"
"Cd40","Malt1"
"mFLJ00294","Ehd1"
"Rsad2","Marcksl1"
"Slc2a6","Pfkp"
"Ddx58","Zc3hav1"
"mFLJ00294","Znfx1"
"Pdxk","Pdlim2"
"Gpx1","AK183279"
"Zbtb7a","mKIAA0136"
"Gbp5","Oasl1"
"Bst2","Sp100"
"Sqstm1","Pyhin1"
"Irg1","Ifih1"
"Nr3c1","Dnaja2"
"mKIAA0694","Tbc1d5"
"Src","AK157941"
"BC002288","Gbp5"
"Rpn1","Glg1"
"Saa3","Filip1l"
"Tnfaip2","2410001C21Rik"
"Cfb","Lgals9"
"Ddt","Exoc8"
"Tmed10","Cpped1"
"Abhd12","Mtap7d1"
"Rpl18","AK043984"
"Ifih1","Itga5"
"Rassf4","Poldip3"
"Trappc9","Msr1"
"Zbtb7a","Nadk"
"Rpl3","Mrpl14"
"Ifih1","Ifitm3"
"Xaf1","Oasl1"
"Clec4d","Rsad2"
"Arf5","Ube2l3"
"Cpsf1","Hist1h1b"
"Ifi205","Ccl5"
"Atp1b3","Tmed9"
"Rnf40","Plcd1"
"Syk","AK171687"
"Smarca5","Btf3l4"
"Il1b","Ccl5"
"Il1b","Clec4d"
"Cd38","Ifi35"
"Slfn5","Cd14"
"Ltf","Tcea1"
"Il1a","Ifih1"
"Nr3c1","Zbtb7a"
"Nup133","Emd"
"Gbp3","Malt1"
"Rnf40","Pspc1"
