"V1","V2"
"Spnb2","Hnrnpu"
"Rpl17","Glipr2"
"Rpl17","Psmb4"
"Psmb2","Polr2j"
"Psmb10","Stau1"
"Ndufs4","Arglu1"
"Gsto1","Ak3"
"AK079994","Rmnd5a"
"Trappc3","Tardbp"
"Maea","Mecr"
"Exoc6b","Rhot1"
"Cul1","Pum1"
"N4bp1","2400003C14Rik"
"Mat2a","Atp6v1e1"
"Alkbh5","Prkra"
"Rela","Rpl7a"
"Vapb","Mthfs"
"Cd177","Ncf2"
"2310001A20Rik","Pcbd2"
"Rexo2","Snf8"
"Cmpk2","Gm4902"
"Sort1","Vcl"
"Smek2","Ppp1ca"
"Endog","Sdhb"
"Hspa8","Dync1li1"
"Rad23b","Eif2s1"
"Tra2b","Btf3"
"Gsto1","Nsun2"
"Lemd2","Hist3h2a"
"Mut","Dnaja3"
"Iscu","Nop58"
"Heatr1","Cox7a2"
"Dlat","Sypl"
"Cd14","Nrp2"
"Acsl1","Cd38"
"Psmb5","Rai14"
"Lrrc47","Slmap"
"Commd3","Acat3"
"Crlf3","Hpca"
"Psme2","Stip1"
"Lrch3","mACS4"
"Lcn2","Spna2"
"Ccdc88b","Ctsz"
"Psmc1","Wdr77"
"Cd47","Gnas"
"Commd8","Smad4"
"Ndufs3","Uqcrq"
"Ccl5","Ddx24"
"Idh1","Etfa"
"Gsto1","Ampd2"
"9030625A04Rik","Manf"
"Ppp1r9b","Pfdn4"
"Dna2","Rab9"
"Aqr","Nrbf2"
"Brsk1","Pex1"
"Ubxn6","Fgr"
"Mogs","Maoa"
"Nudt5","Fermt3"
"AK153427","Myl12b"
"Sp1","Ddx1"
"Tubg1","Pef1"
"Itgax","Cd97"
"Psmc6","Gla"
"Dnajc19","Mosc2"
"AK078801","AI314180"
"Rsad2","Sp100"
"Pgd","Gm15450"
"Anp32b","Cmpk1"
"Ldha","Scfd1"
"Ugp2","Diap2"
"Ybx1","Zfp259"
"Vps24","Vps4b"
"Malt1","Mcat"
"Cebpb","Cd274"
"Fmnl3","Rai14"
"Cyb5","Pde6d"
"Naa20","Metap2"
"Pnpla8","Naa20"
"Pts","Pfdn2"
"Xpnpep1","Card9"
"Syk","Cyfip1"
"Ap3b1","Atp5a1"
"Bcap29","Aldh6a1"
"Eif3i","Akr1b3"
"2310044H10Rik","Dmxl1"
"Fermt3","Dmxl1"
"Dmxl1","Tep1"
"Dmxl1","Kif11"
"Galk1","Tprkb"
"Itgb1","Rpl23"
"Dock8","Zfp128"
"Coro7","Naa20"
"Mrpl50","Nup85"
"Plaa","Atp5e"
"Slc9a3r1","Ncf1"
"Sel1l","Cyp4f18"
"Sel1l","Rbm4b"
"NAAA","AK081796"
"AK157914","Mrpl13"
"Hdgfrp2","Nop56"
"Slfn5","Gbp2"
"Tsc2","Nagk"
"Mars","Gale"
"Hcfc1","Rpl11"
"Cryz","Iqgap3"
"Lrch3","Nr3c1"
"Glt25d1","Trap1"
"Phf5a","Prcp"
"Lsm12","Hmgn5"
"Ezr","Paip2"
"Rpl4","Akr1e1"
"Ugp2","Kynu"
"Idh1","Psmb2"
"Psmb1","Zfp592"
"Sh3glb2","Dido1"
"Sord","Rbm25"
"Gpsm3","Fbl"
"Gmppa","Ehhadh"
"Mtm1","Mllt4"
"Idh1","Ptgr1"
"Atp5l","Yme1l1"
"Itga5","Ifi35"
"Sord","Pam16"
"Psmc6","P4hb"
"Prex1","Ubxn6"
"Tbc1d2b","Setd1a"
"Oas3","Dck"
"Fdps","Pdxdc1"
"Uqcrh","Dpy30"
"Unc119b","Txndc12"
"Polr2i","Dynlrb1"
"Ctsb","Fabp5"
"Ap1m1","Dazap1"
"Rars","Il1rn"
"Rps13","Rab21"
"Pdxdc1","Tcof1"
"Dpp9","Tusc1"
"Arpc2","Tusc1"
"Tusc1","Mthfs"
"Slc25a11","Ap3d1"
"Chm","Clns1a"
"Exoc6","Pdk1"
"Mrpl28","Dazap1"
"Pitpnb","Ppp1r9b"
"S100a4","Thop1"
"Yy2","Fbxw7"
"Yy2","Srp54a"
"Sucla2","Dpy30"
"Papss2","Slc25a11"
"BC002288","Cpd"
"Dek","Dera"
"Dnajc13","Psma6"
"Mki67","Vasp"
"Mrpl41","Akap10"
"Myeov2","Mbp"
"Eef1a1","Aldh3a2"
"Prorsd1","Cd2ap"
"Sec61g","Nsf"
"Rpn2","Rufy1"
"Rpl9","Rpsa"
"Rpl30","Rps24"
"Vps26a","Tox4"
"Tox4","Golph3"
"Tox4","Ahnak2"
"Rnaset2a","Adnp"
"Smpdl3b","Stk24"
"Heatr1","Napg"
"Uap1l1","Srrm1"
"Ctsb","Cyb5"
"Lsm12","Sh3pxd2b"
"Col4a3bp","Rpl15"
"Mgst1","Tox4"
"Cog4","Tox4"
"Rps27","Tox4"
"Scyl1","Tox4"
"Tox4","Agfg1"
"Tox4","Tbc1d17"
"Tox4","Prkaca"
"Tox4","Mtap4"
"Sh3glb1","Ppfia1"
"Pygb","Wdr81"
"Snx30","Rpl28"
"1600014C10Rik","Hgs"
"Rpl34","Pcx"
"Fermt3","Rpl7a"
"Wdr77","Mapk1"
"Kpnb1","Rps17"
"Arfip1","Fasn"
"Vbp1","Rnasel"
"Pon3","Gpi1"
"Tfrc","Timm50"
"Arhgap18","Ddx1"
"Anxa3","Smarcb1"
"Prosc","Etfa"
"Tmem11","Prpf19"
"Taldo1","Scfd1"
"Rfk","Arrb2"
"Anp32b","Pgk1"
"Rin3","Rpn2"
"Ctbp1","Pdxdc1"
"Syk","Gspt1"
"Htatsf1","Cul1"
"Trafd1","Ifit2"
"Ddx51","Gm16602"
"2310001A20Rik","Etfdh"
"Mat2a","Scaf4"
"Scaf4","Cd63"
"Aldh7a1","Gabarap"
"Glrx5","Ero1l"
"Mrpl41","Hprt"
"Scamp2","Msh6"
"Suv39h2","Endod1"
"Endod1","Pfkfb3"
"Lgals3bp","Gspt1"
"Ap3b1","Lonp1"
"Psmd11","Glud1"
"Atpif1","Glud1"
"Hdgfrp2","Cbx3"
"Phpt1","Fto"
"Arfip1","Sae1"
"Naa50","Eif6"
"Etfdh","Myg1"
"Stat5a","Crlf3"
"Phb2","Sidt2"
"Eif3i","Ptpn12"
"Dctn3","Strap"
"Arhgdia","Adssl1"
"Cbx3","Nop56"
"Nln","Decr1"
"Ccdc58","Oxsr1"
"Kif1b","Alkbh5"
"Naa20","H2-DMb2"
"Ftl1","Mcm5"
"Arcn1","Khsrp"
"Naa38","Anp32b"
"Strap","Blvrb"
"Pcna","Dstn"
"Psma1","Aldh3a2"
"Rnf20","Ahsa1"
"Cyp4v3","Dck"
"Eif3a","Rasal3"
"Ube4b","Mrpl11"
"Ftl1","2610101N10Rik"
"Sf3b5","Eif3e"
"Malt1","Fcgr1"
"Mrpl15","Mrpl55"
"Nampt","Casp1"
"Ltf","Tceb3"
"Isyna1","Rcc2"
"Cpeb4","Gm4902"
"Cd14","Ifit1"
"Spr","Thop1"
"Caper","Tnfrsf26"
"Ybx1","Ndufc2"
"Baz1a","Ptges3"
"Abce1","Tsta3"
"Mapre1","Rps27l"
"AI607873","Nlrp3"
"Akr7a5","Pdha1"
"Actr3","Nmt1"
"Lgals3","Ufd1l"
"Atg12","Xrcc1"
"Agl","Rpl38"
"Pitpnb","Copb1"
"Rplp2","Nampt"
"Iqgap1","Cdk2"
"Ddi2","Fam136a"
"Sub1","Vps26a"
"mKIAA0970","Capn2"
"Kars","Ppp3ca"
"Rpl37a","Snx4"
"Npepps","Nop56"
"6-Sep","Phf5a"
"Nsun2","Rrp1b"
"Mrpl43","NAAA"
"Acsl1","Src"
"Hadha","Sf3b3"
"Jund","Mff"
"Baz1a","Jund"
"Jund","Nek6"
"Jund","Tnpo2"
"Asns","Psat1"
"Pcna","Snx12"
"Acaa2","Snf8"
"Fblim1","Pacsin2"
"Mocs1","Pnpt1"
"Pstpip1","Ide"
"Bpnt1","Tomm34"
"Acox3","Wdr91"
"Arhgap25","Ndufa10"
"Mettl11a","Gpx4"
"Gsto1","Phf5a"
"Arrb1","Eml4"
"Cpeb4","Malt1"
"Nop56","Eif3l"
"Eif3f","Nqo2"
"Tcof1","Plin3"
"Nck1","Tomm70a"
"mKIAA0887","Ddost"
"Mrps23","Vps52"
"Mapk14","Cpne3"
"Osgep","Ddb1"
"Slc25a24","Yme1l1"
"Pygl","Pml"
"Lsm4","Etfa"
"Erh","Ldha"
"Rpl19","Hist1h1e"
"Snx5","Dnpep"
"Stat1","Car13"
"Gsto1","Hn1l"
"Tbc1d5","Serbp1"
"Lpp","Mapk1"
"Zbtb7a","mACS4"
"Nmral1","Magoh"
"Iqgap2","Gmppb"
"Cc2d1a","Cd82"
"Asph","Ctnnb1"
"Sord","Vps33a"
"Cd177","Dnmt1"
"Tom1","Pfkl"
"Farsa","Ranbp1"
"Rbpms","Ifi35"
"Akt1","2010106G01Rik"
"Chmp1b","Rpl15"
"Ptges2","2810405K02Rik"
"mKIAA0970","Dncic2"
"Nbeal2","Plin3"
"Plod1","Frg1"
"Hp","Aoah"
"Arid1b","Polr2l"
"Fubp1","Pa2g4"
"Ddx46","Pfas"
"Hagh","Fblim1"
"Vps39","Rnasel"
"6-Sep","Guk1"
"Rpl37a","Dlat"
"mKIAA0268","Sipa1"
"Il1a","Cpd"
"Etfa","Tomm34"
"Rpl37a","Lsm6"
"Tlr2","Itga5"
"Mt2","Zranb2"
"Mrpl40","Csl"
"Tsc22d4","Sep2"
"Baz1b","Cd97"
"Rcl1","Lilrb3"
"Lgals9","Hck"
"AK048828","Ric8"
"Fam62b","Kif1b"
"Snrnp40","Aldh1a2"
"Pgk1","Aimp1"
"Trim25","Pml"
"Nlrp3","Irgm2"
"Akr1b10","Cct4"
"Akr1b10","U2af1l4"
"Rpl3","Syk"
"Tmpo","Thumpd3"
"Lrch3","Rel"
"Echs1","Tardbp"
"Ddx58","Cmpk2"
"Rbpms","Slu7"
"Rpl8","Sephs1"
"Hddc2","Got2"
"Nln","Snx2"
"Bicd1","Gnb4"
"Cbr3","Xrcc1"
"Ggct","Arhgap18"
"S100a4","Uqcrb"
"Syk","Eno1"
"Ppp1r14b","Sdhaf2"
"Tardbp","Dpy30"
"Snrnp40","Vac14"
"Dhrs4","Rab10"
"Stk10","Pip4k2a"
"Rpl37a","Anp32a"
"Wdr77","Fbl"
"Prpf4b","Hist1h2bh"
"Pcna","Eif5b"
"BC002288","Rnf213"
"2010106G01Rik","Zc3h15"
"Hcfc1","Vim"
"Ifi47","Parp9"
"Rab8B","1810037I17Rik"
"Mat2b","Psma5"
"Dtd1","Mapk9"
"Wdr1","Khsrp"
"mKIAA0970","Dync1li1"
"Commd8","Stxbp1"
"Eif3i","Rab5c"
"Uap1l1","Mbd2"
"Mrpl3","Gcc1"
"Slc25a12","Polr1c"
"Sh3pxd2b","Lsm4"
"Nfkb2","Kpna3"
"Mrpl30","Bms1"
"Get4","Gmds"
"Clec4d","Dpep2"
"nssr 1","Ctr9"
"Sfpq","Etfa"
"Snx5","Ero1l"
"Pkib","Scamp2"
"Fr1","Necap2"
"Tufm","Zc3hc1"
"Rps27l","Nop56"
"mKIAA0694","Atg12"
"Pcna","Csnk2b"
"Nucks1","Farsb"
"Tor1aip1","Gnb1"
"Rbms1","Inpp5d"
"Hmha1","Dazap1"
"Rbmxrt","Glud1"
"Pcyt1a","Tnfaip8l2"
"Cpox","Mthfr"
"Srrm1","Hnrnpul2"
"Btf3l4","Sec23a"
"Psmc4","M6pr"
"Ddi2","Ppt1"
"Ddx21","Pnn"
"Lrrc8c","Edf1"
"Impdh2","Tagln2"
"Eif3i","Snx1"
"Ngp","Cat"
"Snx5","Plcb2"
"H2-Ke2","Coasy"
"BC002288","Trafd1"
"Ddhd1","Nrbp1"
"Ppp2r2d","Uggt1"
"Hp1bp3","Gapvd1"
"Osbp","Eno2"
"Acadm","Kynu"
"Pon2","Anp32b"
"Plaa","Pabpn1"
"Ppp6c","Fam175b"
"H1f0","Mir147"
"H2afy","Pfas"
"Nadk","Stat1"
"Atp5l","Ctr9"
"Puf60","Cd177"
"Plcb2","Ptpn11"
"Ilk","Sumf1"
"Sltm","Gnl3"
"Gbp5","Rasa4"
"Psmc6","Ppia"
"Galk1","Lonp1"
"Arhgap30","Vps4b"
"Nln","Hist1h1d"
"Mki67ip","Polr1c"
"Mrpl1","Slc25a3"
"Htra2","mVps16"
"Mrpl50","Pik3r4"
"Adpgk","Rae1"
"Ccdc88b","Pacs1"
"Mrps9","Prosc"
"Dnaja2","Uba1"
"Selenbp1","Gnb1"
"Cog2","Rpl30"
"Mudeng","BC003266"
"mFLJ00067","2810405K02Rik"
"Atp5f1","Pebp1"
"Pilra","B4galt1"
"Pilra","Krr1"
"Pilra","Med11"
"Pilra","Nt5c3l"
"Bub3","Eif2a"
"Mcm3","Acot8"
"Cnot1","Thoc3"
"1810063B05Rik","Gcn1l1"
"Syk","Plin3"
"Pnp","Nub1"
"Psmc2","Mtap1s"
"Snap29","Etf1"
"2310014H01Rik","Pa2g4"
"Il16","Ilf3"
"Farsa","Srrm1"
"Cd44","Actr3"
"Nup153","Lamp1"
"Pdia4","Pnn"
"Rpl7l1","Rpl19"
"Nadk","Rpl7l1"
"Rpl7l1","Arpc4"
"Rpl7l1","Commd6"
"Rpl7l1","Pdhx"
"Rpl7l1","Lonp1"
"Rpl7l1","Pitrm1"
"Rpl7l1","Tbc1d13"
"Triap1","Rpl7l1"
"Rpl7l1","Prkra"
"Rps11","Ranbp1"
"Gpx1","Apeh"
"S100a4","Hmha1"
"Txn1","Dctn6"
"Psmb5","Vps45"
"Rbms1","Mt1"
"Uevld","Srpr"
"Ctbp1","Zc3h4"
"Cbx5","Snrpa1"
"Eif3m","Cct2"
"Agfg2","Plcb2"
"Gnb1","Cbx3"
"Ddi2","Nop58"
"Fam62b","Atp5b"
"Pyhin1","Oas1g"
"mKIAA1558","Arid3a"
"Mapre1","Sec24c"
"Surf6","Unc13d"
"Nop56","Coro1c"
"Rpia","Card9"
"Ssh3","Slc2a1"
"Dcxr","Pls3"
"Caper","Gnb1"
"Zbtb7a","Tank"
"Cd2ap","Timm9"
"Zeb2","Gnb1"
"Nt5c2","Rab3gap1"
"Pmm2","Snrpd2"
"Impa2","Timm44"
"Rpl9","Rpl4"
"Stau1","Calu"
"Hars","Eml4"
"Prkd2","Mlxip"
"Pdha1","Sdha"
"Mgea5","Mtmr6"
"Ugt1a10","Traf3ip3"
"Rassf4","Nmi"
"Anxa1","Relb"
"Slc25a5","Diap2"
"Rps9","Rps3a"
"Tomm70a","Srsf9"
"Nrp2","Wdr77"
"Farsa","Mtap"
"mKIAA0694","Cdv3"
"2010012O05Rik","Cars"
"Cep55","Rras2"
"Rnf114","Nadk"
"Mrps26","Ptp4a2"
"Gtf2e1","Polr2e"
"Mobkl1a","Zbtb7a"
"Gspt1","Maz"
"Gm10094","Mea1"
"Tecr","Mea1"
"Dnttip2","Mea1"
"Mea1","H2afj"
"Pik3r6","Hibadh"
"Ap1g1","Eif3i"
"Tmed7","Naa38"
"Rnaset2a","Nrbp1"
"Gfer","Cdk2"
"Mogs","Dus3l"
"Apaf1","Scyl1"
"Lgals9","Cd44"
"Capza2","Spg11"
"Rpl30","Rps17"
"Utp15","2810408A11Rik"
"Glud1","Scfd1"
"Gmeb2","Set"
"Ccdc9","Gmeb2"
"Nrp2","Gmeb2"
"Gmeb2","Mapksp1"
"C1qb","Gmeb2"
"Sumo1","Gmeb2"
"Sin3a","Gmeb2"
"Nqo1","Gmeb2"
"Flnb","Gmeb2"
"Pck2","Gmeb2"
"Rpl14","Gmeb2"
"Hspa8","Acpp"
"Ppt1","Acap2"
"Cryl1","Rps9"
"Hirip3","Eif4g3"
"Nfkb2","Rgs14"
"Gsk3a","Eif3f"
"Sqstm1","Cpd"
"Tm9sf2","Ctbp2"
"Supt6h","Iscu"
"Dynll1","Pitrm1"
"Sqstm1","Znfx1"
"Anp32b","Hadh"
"Utrn","Pkm2"
"Ppib","Tpra1"
"Dab2","Csnk2b"
"Rps20","Dbnl"
"Psmf1","mKIAA0694"
"Usp4","Zfp143"
"Sep8","Dlgap4"
"Atp6v1b2","Pdcd11"
"Poldip3","Fcgr2b"
"Kcnab2","Rpl14"
"Pfdn5","Rpl23"
"Pygb","Tfip11"
"Gsto1","Urod"
"Rars","Rae1"
"Dynll1","Pycrl"
"AK183279","Cep170"
"Dcxr","Amdhd2"
"Ifi205","Csf2ra"
"Ubl7","Rpl12"
"Baz1a","Mri1"
"Plcb2","Pfas"
"Aacs","Syncrip"
"Uqcrc2","Mrpl27"
"Sec22b","Pak1ip1"
"Pak1ip1","Trim12a"
"Pak1ip1","Itpk1"
"Rpl10a","Pak1ip1"
"Mrps30","Psmf1"
"Ampd3","Gna13"
"Adi1","Vps13c"
"Timm8b","Cpt2"
"Rftn1","Dnajc3"
"Anp32a","Aco2"
"Mecp2","Fancb"
"Mecp2","Hist1h2ah"
"Drg1","Larp4b"
"Usp39","Irf5"
"Hcfc1","Kcnab2"
"Pstpip1","Prpf19"
"Adi1","Creld2"
"Plbd1","Vps28"
"Atp1a1","Cd97"
"Atp6v1g1","Lrch1"
"Eef1a2","Rnf13"
"Rplp2","Itgb1"
"Eif3c","Ap2a1"
"2610301G19Rik","Wdr91"
"Hsp90aa1","Esyt1"
"Kpna2","B230120H23Rik"
"Ruvbl1","Adss"
"Plcg2","Tsta3"
"Fam54b","Rps3"
"Naa50","Mcm3"
"Hectd3","Mark2"
"Mcts1","Akap8"
"AK008288","Chchd2"
"Sec16a","6720456B07Rik"
"Nars","Pin1"
"Rassf4","Txnrd1"
"Pcbp2","Gtf2f2"
"Hnrnpul1","Lxn"
"Txlna","Hsd17b12"
"AI837181","Rpl23a"
"Sh3pxd2b","Arid1a"
"Abhd14b","Hadha"
"Rela","Glud1"
"0610010K14Rik","Bax"
"Ddx20","BC094916"
"Coro2a","Clec4a3"
"Iqgap1","Zc3hc1"
"Psmc4","Asna1"
"Nln","Ikbkap"
"Ogfr","Scyl2"
"Tsnax","Prcp"
"Ttc37","Tssc1"
"Lsm2","Uqcr10"
"Acsl1","Tapbp"
"Ascc1","Tes"
"Ubqln1","Birc6"
"Cpne3","Idh3a"
"Bzw2","Mtdh"
"Atg5","Sfn"
"Rnpep","Wdr91"
"Rnf114","C3"
"Arl2","Ckm"
"Cars","Mrpl11"
"Mettl13","Elovl5"
"Elovl5","Dut"
"Elovl5","Vps37a"
"Elovl5","Wdr44"
"Elovl5","Nup37"
"Elovl5","Eno3"
"Elovl5","Dnajc7"
"Elovl5","Ssr1"
"Elovl5","Slc39a7"
"Kcnab2","Erlin2"
"Sf3b2","Top1"
"Fgfr1op2","Esyt2"
"Hspe1","Vps39"
"Vapb","Ndufv2"
"Eif3i","9630033F20Rik"
"Mapkapk3","Ahcy"
"Snx1","Rpl36"
"Txnl4a","Hebp1"
"Atp6v1b2","Gdap2"
"Uqcrc2","Rpl10"
"Pycr2","Atp6v1b2"
"1110037F02Rik","Dnm3"
"Dennd4b","Thop1"
"Hspbp1","Sec24c"
"Itgax","AK034420"
"Ybx1","Aldoc"
"Eef1a1","Bloc1s3"
"Tubb2c","Hnrnpr"
"Cpsf3l","Nprl2"
"Msto1","Glod4"
"Mobkl3","Kif3a"
"Arcn1","Gart"
"mUBPY","Mt1"
"Eif3i","Myo9b"
"Tle3","Gtpbp4"
"Psma7","Arhgap9"
"Rbm33","Dcaf8"
"Lypla1","Psmb1"
"Wdr91","Bloc1s3"
"Pafah1b3","Bcas3"
"Grpel1","Rps11"
"Arhgap25","Acadvl"
"Sgk3","Nfx1"
"Mapkapk3","Rsf1"
"Vamp3","Uckl1"
"Eif3i","Tcerg1"
"Acat1","Thop1"
"Mfap1b","Idi1"
"mVps16","Mccc2"
"Llph","Cspg4"
"B4galnt1","Ndufa9"
"Tollip","Uqcrb"
"Cpsf7","2810428I15Rik"
"Pfkfb3","Arf2"
"Dgkz","Luc7l"
"Cpsf7","Luc7l"
"Nup85","Luc7l"
"Ogfr","Luc7l"
"Npl","Luc7l"
"Ric8","Ugcgl1"
"Cnbp","Ipo9"
"Alkbh5","Psmc5"
"Il1b","Xpo7"
"Ep300","Sec23a"
"Rpa3","Mapk1"
"Zdhhc13","BC094916"
"Tsnax","P4hb"
"Cnbp","mKIAA4155"
"Arl6ip1","Ctr9"
"Sfxn3","Ipo4"
"Snrpd2","Slc8a1"
"Hist1h1b","Copz1"
"Atad2b","Pi4kb"
"Lasp1","Atp5e"
"Plaa","Hmgb2"
"Dlgap4","Canx"
"Wdr91","Fam120a"
"Rap1gds1","Col4a3bp"
"Pld3","Plod1"
"Mycbp","Rabgap1"
"Grpel1","Gba"
"Ints12","Ndrg3"
"Wdr7","Psme2"
"Slc8a1","B230208H17Rik"
"Gm15450","Nans"
"Isyna1","Hdac1"
"Exosc3","CLM1-A"
"Actbl2","1200011M11Rik"
"Hsp90aa1","Rab5b"
"Rpl19","Ccdc47"
"Chmp4b","Itgb1"
"Pcx","Fdxr"
"Dctn3","Etfa"
"Oasl1","Trafd1"
"Arrb1","Rsf1"
"G3bp1","Actr1a"
"Rac2","Prdx1"
"Tlr2","Rasa4"
"Ubxn4","Ociad1"
"Gga1","Gyg"
"Hspbp1","Rnmt"
"Atp5d","Arhgap18"
"Psmb2","Ahcy"
"Elmo1","Csda"
"Cct5","Cherp"
"mACS4","Cyfip1"
"Clic1","Abhd14b"
"Dnaja1","Snora33"
"mKIAA0887","Cnpy3"
"Hnrnph2","Sgpl1"
"AK078801","Tomm34"
"Hexim1","Psme4"
"Padi4","Uqcrh"
"Ftsjd2","Clip1"
"Gsdmd","Casp3"
"Elovl5","Psmc3"
"Slfn2","Il1a"
"9030617O03Rik","Adss"
"Ahctf1","Gtf3c5"
"Gpx1","Ndufa9"
"Fubp1","Rnps1"
"Mir147","Stat5a"
"Aldh3b1","Ivd"
"Sumo1","Rps29"
"Dohh","Nup43"
"Cux1","Numb"
"Ndufs6","Cog5"
"Rnps1","Rpl5"
"Cbr3","Nmt2"
"Acad8","Gcdh"
"Rab11a","Rangap1"
"Atp6v1a","Plek"
"Ccdc88b","Rnps1"
"Acsl1","Nr3c1"
"Nlrp3","Ifih1"
"Ubxn6","Slc25a22"
"Hmbs","Snx1"
"Ccdc56","Dpy30"
"Sp1","Numb"
"Hrsp12","Tuba3a"
"Ap3m1","SMIF"
"Eif6","Ckm"
"Gss","Upf2"
"Arfgap1","Nolc1"
"Ociad1","Nucb1"
"Ewsr1","Crxos1"
"Crxos1","Fam120c"
"Ap1m1","Hspe1"
"Snrnp40","Dock8"
"Eif6","Pabpn1"
"2610034B18Rik","Lgals3bp"
"Ddt","2610034B18Rik"
"2610034B18Rik","Cpsf2"
"2610034B18Rik","Exosc10"
"2610034B18Rik","Psmf1"
"2610034B18Rik","Ubqln1"
"2610034B18Rik","Ndufa10"
"2610034B18Rik","Ndufb9"
"2610034B18Rik","Nup50"
"2610034B18Rik","Tollip"
"Cfb","Gbp2"
"Crnkl1","Rab8a"
"Bud31","Snw1"
"Sep8","Cmc1"
"Farsa","Pfas"
"Serpinb2","Vim"
"Aldoc","Glud1"
"Itgb1","Rpl12"
"Aldoc","Nsdhl"
"Pla2g15","Trap1"
"Anpep","Cd44"
"Clpx","Pck2"
"Bod1l","Prdx3"
"Cux1","Scarb2"
"Rars","Snx1"
"Snx1","Dek"
"Naa38","Stx7"
"Snx27","H2-Ke2"
"Lpcat2","Mtdh"
"Hspbap1","Frg1"
"Ddx58","Cpd"
"Sort1","Galk2"
"Il1f9","Cap1"
"Adap1","Lamp2"
"mFLJ00294","Cyp4v3"
"Rwdd4a","Mrto4"
"Pcna","Eps15l1"
"Hmgb2","Snrpe"
"Glipr2","Hadha"
"Rps13","Khsrp"
"Prkar1a","Prkar2b"
"Hrsp12","Smarcc2"
"Bloc1s2","mKIAA0031"
"Adap1","Mgst1"
"Mobkl1a","Hspa8"
"Dido1","Tbc1d10b"
"Cux1","Pabpn1"
"Ddt","Cux1"
"Cux1","Neu1"
"H2-Ke2","Cux1"
"Il1f9","Cux1"
"Cux1","Akr7a5"
"Cux1","Ugp2"
"Cux1","Nup50"
"Ndufs1","Acaa2"
"Akr1b8","Gcdh"
"Eif3i","Luc7l2"
"Hsp90aa1","Pgp"
"G3bp2","Blmh"
"pub","Snord96a"
"Apoa1bp","Pip4k2a"
"Plcb2","Dnajc8"
"Phf5a","Rpl7"
"Surf6","Casp7"
"Psmc4","Pdxdc1"
"Sec24d","Ppid"
"Glipr2","Scfd2"
"Pdhb","Stx7"
"Rnaset2a","Srxn1"
"Rpl37a","Atp5o"
"Srrm1","Kpnb1"
"Tubb2c","Mccc1"
"Mccc1","2510012J08Rik"
"Pf4","Arhgap6"
"6-Sep","Psma1"
"Dnaja1","Plekhg1"
"Ndufa9","AK164362"
"Tbc1d5","Edc4"
"Gm6635","Zranb2"
"Syncrip","Dctn2"
"Zfand5","C5ar1"
"Cnot10","Zfp128"
"Aacs","Naa15"
"Pafah1b3","Mrpl41"
"Anp32b","Gmfg"
"Arrb1","Crry"
"Tprkb","Hadha"
"Asph","Naglu"
"Dctn3","Rpl9"
"Mtap1s","Cyfip1"
"2310044H10Rik","Ivns1abp"
"Ivns1abp","Ube2e1"
"Pgm3","Bat3"
"Hmha1","Hspe1"
"Myl6","Serpinb9b"
"Wdr91","Trappc1"
"Sort1","Nup88"
"Grpel1","Tubb5"
"Ppp6c","Dohh"
"Xaf1","Ddx58"
"Vcp","Cep55"
"Cep55","Arhgef6"
"Sepx1","Rnh1"
"Def6","Cul4b"
"Prdx4","Acpp"
"Tpm4","Tceb3"
"Gatad2a","Rbm47"
"Rpl36al","Triap1"
"Nek9","Nop56"
"Nub1","Nrbp1"
"Ddx18","Vps37c"
"NAAA","Mpst"
"Lsm3","Acaa2"
"Psmc1","Tardbp"
"Ppt1","Ap1m1"
"AK081796","Lnpep"
"Stip1","Fasn"
"Mark2","Xrcc1"
"Slfn2","Parp14"
"Xdh","Hnrnpul1"
"Psma5","Mtap1s"
"Tyms","Sidt2"
"Hsp90ab1","Tyms"
"Mrmt1","Dido1"
"Rps9","Cct2"
"Fasn","Myo1f"
"Qk","Eif3c"
"Nucb2","Gabarapl1"
"Fech","Dus3l"
"Mpp1","Eif3c"
"Raf1","Ankle2"
"Selenbp1","Hpca"
"Pmm2","Vdac1"
"Efhd2","Hk2"
"Mrps30","Stfa1"
"Ncf4","Nupl1"
"Tom1","Rac1"
"Gmfg","Scfd1"
"Slc25a5","Srpr"
"Ccdc12","Ncl"
"Nsdhl","Ap1b1"
"1110005A23Rik","Mrps7"
"Smarcc2","Creg1"
"Iqgap2","Ppfia1"
"Hnrnpul2","Ube3a"
"ORF19","Snx4"
"Rbm33","GPx4"
"Gbp2","Isg15"
"Snrpc","Ap2a1"
"Selenbp1","Wdr5"
"Sbds","Ccdc50"
"Zfp161","Mad2l1"
"Rpsa","Phf5a"
"mKIAA1108","Mthfd2"
"Tmx3","Adk"
"Stfa1","Nup35"
"Zc3hav1","Chchd2"
"Atp1b3","Ap3d1"
"Lgals9","Tapbp"
"Edf1","Aldh1b1"
"Dhfr","Tsta3"
"Slc2a6","Raf1"
"Golga3","Ywhae"
"Arhgap15","Itsn2"
"Tsc22d4","Bud31"
"Pcna","Sirt2"
"Wdr45","Atad2"
"Cul3","Nasp"
"Spcs3","Fis1"
"Tank","Nadk"
"Trip12","Pfn1"
"Pfdn5","Tnpo1"
"Dapk1","Gale"
"Sh3pxd2b","Rpl23a"
"Ptgr1","Prcp"
"Mudeng","Polr2h"
"Dtx3l","Trafd1"
"Ddx58","Osbpl3"
"Zyx","Sh3bgrl3"
"Nmi","Nfatc1"
"Flot1","Por"
"Os9","Nucb1"
"Dis3l2","Ankle2"
